name,base_element,sheet_name,label,structure,pure_label,material type,ductile_or_brittle,Grady_ductile_median,Grady_ductile_lower,Grady_ductile_higher,Grady_brittle_lower,Grady_brittle_higher,Grady_brittle_ave,GPR_production,GPR_error,test or train,spall_min,spall_max,spall_median,spall_mean,,spall data type,spall_stdev,uts_min,uts_max,uts_median,uts_mean,uts_calc,yield_min,yield_max,yield_median,yield_mean,yield_calc,comp_min,comp_max,comp_median,comp_mean,comp_calc,bulk_min,bulk_max,bulk_median,bulk_mean,bulk_calc,shear_min,shear_max,shear_median,shear_mean,shear_calc,young_min,young_max,young_median,young_mean,young_calc,dens_min,dens_max,dens_median,dens_mean,dens_calc,hard_min,hard_max,hard_median,hard_mean,hard_calc,frac_min,frac_max,frac_median,frac_mean,frac_calc
Silver,Ag,Ag,Ag,fcc,Ag - fcc,metal,ductile,1.45,0.88,3.21,N/A,N/A,N/A,0.8657299,1.278344,train,1.23,1.23,1.23,1.23,single point,metal - single point,0,140,177,158.5,158.5,no,25.6,340,69.7,126.25,no,45,300,172.5,172.5,no,84,118,101,101,no,24,28.8,27.9,27.15,no,69,80,75,74.75,no,10.47,10.5,10.48,10.48,no,25,25,25,25,no,40,105,72.5,73,no
Aluminum,Al,Al,Al,fcc,Al - fcc,metal,brittle,N/A,N/A,N/A,0.91,1.96,1.44,1.2834812,0.830978,train,0.99,1.8,1.12,1.29,varies by source,metal - varies by source,0.37,60,127,93.5,93.5,no,35.3,84,58,58.83,no,28.5,31.5,30,30,no,63,83,73,73,no,25,27,25.85,25.93,no,68,72,69.9,69.95,no,2.67,2.73,2.7,2.7,no,15,15,15,15,no,26.88,35,30,31,no
Aluminum [100],Al,Al100single,Al (100),,Al (100),metal,brittle,N/A,N/A,N/A,0.05,0.1,0.07,1.1260897,0.992575,train,0.85,1.36,1.02,1.06,varies by source,metal - varies by source,0.23,34.63,34.63,34.63,34.63,no,17.35,17.35,17.35,17.35,no,28.88,28.88,28.88,28.88,no,52.43,89.89,71.16,71.16,yes,15.53,15.53,15.53,15.53,yes,44.04,44.04,44.04,44.04,yes,2.7,2.7,2.7,2.7,no,14.3,14.3,14.3,14.3,no,0.35,0.35,0.35,0,no
Aluminum [111],Al,Al111single,Al (111),,Al (111),metal,brittle,N/A,N/A,N/A,0.05,0.1,0.08,1.3656526,0.925113,train,1,1.41,1.17,1.19,varies by source,metal - varies by source,0.17,60,87.47,73.73,73.73,no,17.84,17.84,17.84,17.84,no,47.21,47.21,47.21,47.21,no,80.03,89.89,83.33,84.42,yes,15.53,24.45,19.99,19.99,yes,70,70,70,70,no,2.7,2.7,2.7,2.7,no,14.5,14.5,14.5,14.5,no,0.35,0.35,0.35,0,no
Aluminum 1060-O,Al,Al1060_O,Al 1060-O,,,alloy,brittle,N/A,N/A,N/A,0.44,0.94,0.69,1.3041937,0.799549,train,1.16,1.24,1.19,1.2,varies by impact condition,alloy - varies by impact condition,0.04,68.9,69,68.95,68.95,no,27.6,28,27.8,27.8,no,60,60,60,60,no,74.3,74.3,74.3,74.3,no,26,27.4,26.7,26.7,no,68.9,73.2,71.05,71.05,no,2.7,2.71,2.71,2.7,no,22,22,22,22,no,9.9,9.9,9.9,10,no
Aluminum 1100-O,Al,Al1100_O,Al 1100-O,,,alloy,brittle,N/A,N/A,N/A,0.46,1,0.73,1.3174815,0.763813,train,1.08,2.05,1.35,1.42,varies by impact condition,alloy - varies by impact condition,0.3,89.6,89.6,89.6,89.6,no,34.5,34.5,34.5,34.5,no,96,96,96,96,no,78.13,78.13,78.13,78.13,yes,26,26,26,26,no,68.9,68.9,68.9,68.9,no,2.71,2.71,2.71,2.71,no,23,23,23,23,no,10.65,10.65,10.65,11,no
Aluminum 2014-T6,Al,Al2014_T6,Al 2014-T6,,,alloy,brittle,N/A,N/A,N/A,0.67,1.44,1.05,1.5117842,0.797286,train,1.47,1.76,1.62,1.62,varies by source,alloy - varies by source,0.21,483,483,483,483,no,414,414,414,414,no,470,470,470,470,no,71.67,73.02,72.34,72.34,yes,28,28,28,28,no,73.1,73.1,73.1,73.1,no,2.8,2.8,2.8,2.8,no,155,155,155,155,no,18.35,19,18.68,19,no
Aluminum 2024-T4,Al,Al2024_T4,Al 2024-T4,,,alloy,brittle,N/A,N/A,N/A,0.95,2.04,1.49,1.3402943,0.779756,test,1.1,1.43,1.19,1.22,varies by source,alloy - varies by source,0.13,441,476.4,469,463.85,no,290,346.8,324,321.2,no,353,353,353,353,no,68,68,68,68,no,26,28,27,27,no,73.1,73.1,73.1,73.1,no,2.77,2.78,2.78,2.78,no,137,137,137,137,no,26,37,32,32,no
Aluminum 2024-T81,Al,Al2024_T81,Al 2024-T81,,,alloy,brittle,N/A,N/A,N/A,0.84,1.82,1.33,1.5497617,0.745928,train,0.6,0.6,0.6,0.6,single point,alloy - single point,0,485,499.89,492.44,492.44,no,450,457.83,453.91,453.91,no,461.28,470.24,465.76,465.76,no,70.98,73.02,72,72,yes,28,28,28,28,no,72.4,72.4,72.4,72.4,no,2.78,2.78,2.78,2.78,no,146,146,146,146,no,26.62,26.62,26.62,27,no
Aluminum 2024-T86,Al,Al2024_T86,Al 2024-T86,,,alloy,brittle,N/A,N/A,N/A,0.87,1.87,1.37,1.5806264,0.724485,train,1.8,2,1.9,1.9,varies by impact condition,alloy - varies by impact condition,0.14,483,515,499,499,no,393,455,444,434,no,448,448,448,448,no,72,76.4,74.2,74.2,no,28,28.1,28,28.03,no,72.4,75.2,73.1,73.57,no,2.77,2.78,2.78,2.78,no,155,155,155,155,no,27.5,27.5,27.5,28,no
Aluminum 2139-T8,Al,Al2139_T8,Al 2139-T8,,,alloy,ductile,3.36,3.36,3.36,N/A,N/A,N/A,1.7780643,0.913438,train,1.45,1.45,1.45,1.45,single point,alloy - single point,0,505,505,505,505,no,487,487,487,487,no,468.84,468.84,468.84,468.84,no,77.5,77.5,77.5,77.5,no,27.2,27.2,27.2,27.2,no,73.1,73.1,73.1,73.1,no,2.8,2.8,2.8,2.8,no,170,170,170,170,no,44.06,52.19,46.37,48,no
Aluminum 5083-H116,Al,Al5083_H116,Al 5083-H116,,,alloy,ductile,2.12,2.12,2.12,N/A,N/A,N/A,1.3607129,0.88593,train,0.81,1.6,0.89,1,varies by source,alloy - varies by source,0.3,289.59,289.59,289.59,289.59,no,206.85,206.85,206.85,206.85,no,290,290,290,290,no,71.8,72.4,72.1,72.1,no,26.4,27.2,26.8,26.8,no,71,72.4,71.7,71.7,no,2.66,2.66,2.66,2.66,no,88,88,88,88,no,49,49,49,49,no
Aluminum 6061-T6,Al,Al6061_T6,Al 6061-T6,,,alloy,brittle,N/A,N/A,N/A,0.9,1.93,1.41,1.4430683,0.736885,train,0.8,2.3,1.3,1.39,varies by source,alloy - varies by source,0.59,310,310,310,310,no,276,276,276,276,no,267,267,267,267,no,75.1,75.1,75.1,75.1,no,26,27.5,26.75,26.75,no,68.9,73.5,72.2,71.53,no,2.7,2.7,2.7,2.7,no,107,107,107,107,no,29,29,29,29,no
